LetterB;Letter;Terminationn1;Vertical1;huequito;DiagonalU;DiagonalD;IsolatedC1;EscalnR;EscalnL;Vertical2
a;a;0;0;0;0;0;1;0;0;0
b;b;1;1;0;0;0;0;0;0;0
c;c;0;0;0;0;0;1;0;0;0
d;d;0;0;0;0;1;1;0;0;1
e;e;0;1;0;0;1;1;0;0;0
f;f;1;1;0;0;0;0;1;0;0
g;g;1;1;0;0;0;0;0;0;1
h;h;1;1;0;0;0;0;0;1;0
i;i;0;0;0;1;0;1;0;0;0
j;j;0;0;0;1;0;1;0;0;1
k;k;0;0;1;0;0;0;0;0;0
l;l;0;1;0;0;0;0;0;0;0
m;m;0;0;1;0;0;0;0;0;0
n;n;0;0;0;1;1;0;0;0;1
o;o;0;0;0;1;1;0;0;0;0
p;p;0;1;0;0;0;0;1;0;0
q;q;0;1;0;0;0;0;1;0;1
r;r;0;1;0;0;0;0;1;1;0
s;s;1;1;0;1;0;0;0;0;0
t;t;1;1;0;1;0;0;1;0;1
u;u;0;0;1;0;0;0;0;0;0
v;v;0;1;0;0;0;0;0;1;0
w;w;0;0;0;1;1;1;0;0;1
x;x;0;0;1;0;0;0;0;0;0
y;y;0;0;0;1;1;0;0;0;1
z;z;0;0;0;0;1;0;0;0;1
